,pearson_scores
0,0.2349950415
1,0.176348003
2,0.1661797395
3,0.2110453543
4,0.08859245305
5,0.1429145964
6,0.2364304667
7,0.196231024
8,0.1786032409
9,0.1575969121
10,0.1795946494
11,0.1711425461
12,0.1673666078
13,0.1779095004
14,0.1733088641
15,0.2188697041
16,0.1890067963
17,0.2147892138
18,0.1813672091
19,0.175673591
20,0.2124372576
21,0.2369130789
22,0.1332615813
23,0.1846056938
24,0.1867592788
25,0.1573284522
26,0.1278814166
27,0.1323791189
28,0.1503868704
29,0.2081699459
30,0.1306777623
31,0.1371691147
32,0.2259437346
33,0.2192761645
34,0.1940913052
35,0.181770124
36,0.2252848225
37,0.1858843889
38,0.2663853858
39,0.2325879212
40,0.1318358956
41,0.227888455
42,0.1975689186
43,0.2054833522
44,0.178209112
45,0.1904590029
,0.1847522537